id,age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status,offspring_1,height2
49,63,average,mostly anything,socially,never,dropped out of ph.d program,white,65,0,banking / financial / real estate,05JUN12:07:53:00,"mill valley, california",has a kid,straight,likes dogs and has cats,judaism but not too serious about it,f,leo,no,"english (fluently), german (poorly), french (poorly)",single,YES,165.1
50,61,average,mostly anything,socially,never,dropped out of college/university,white,63,70000,retired,25JUN12:22:31:00,"walnut creek, california","does not have kids, and does not want them",straight,has dogs and has cats,atheism but not too serious about it,f,capricorn,trying to quit,"english, english",single,NO,160.02
51,34,athletic,anything,socially,never,graduated from masters program,white,67,0,executive / management,28JUN12:07:19:00,"san francisco, california","does not have kids, but wants them",straight,likes dogs,agnosticism and somewhat serious about it,f,taurus,no,"english (fluently), spanish (poorly)",single,NO,170.18
52,19,a little extra,anything,not at all,never,working on two-year college,white,72,0,student,27AUG11:20:02:00,"belmont, california",does not want kids,bisexual,has dogs,atheism and laughing about it,m,aquarius,no,english,single,NO,182.88
53,34,curvy,mostly anything,rarely,never,graduated from college/university,white,68,40000,artistic / musical / writer,28JUN12:21:42:00,"hayward, california","does not have kids, but wants them",straight,likes dogs and has cats,atheism,f,cancer,no,"english (fluently), spanish (fluently), french (poorly)",single,NO,172.72
54,26,fit,mostly vegetarian,socially,never,graduated from college/university,white,75,0,science / tech / engineering,30JUN12:00:16:00,"san francisco, california",does not want kids,straight,likes dogs,buddhism and laughing about it,m,aries,no,"english (fluently), spanish (poorly), japanese (poorly)",single,NO,190.5
55,30,skinny,strictly anything,often,sometimes,graduated from space camp,white,69,0,other,30JUN12:00:17:00,"san rafael, california",does not want kids,straight,has dogs and has cats,other and laughing about it,f,libra,no,english (poorly),single,NO,175.26
56,26,average,strictly anything,socially,never,graduated from masters program,white,73,0,computer / hardware / software,29JUN12:22:21:00,"san francisco, california","does not have kids, and does not want them",straight,likes dogs and likes cats,atheism,m,taurus,no,"english (fluently), norwegian (fluently), swedish (okay), french (poor",single,NO,185.42
57,35,average,vegan,socially,never,graduated from ph.d program,asian,71,50000,other,29JUN12:14:17:00,"oakland, california",does not have kids,straight,likes dogs and has cats,atheism and laughing about it,m,gemini,no,"english (fluently), latin (poorly), chinese (okay), c++ (poorly)",single,NO,180.34
58,60,fit,mostly anything,socially,never,graduated from law school,white,71,0,banking / financial / real estate,26JUN12:06:13:00,"san francisco, california","has kids, but does not want more",straight,likes dogs and dislikes c,agnosticism,m,libra,no,"english (fluently), french (fluently), spanish (okay)",single,YES,180.34
59,57,average,mostly vegetarian,rarely,never,graduated from college/university,white,62,0,other,29JUN12:22:31:00,"walnut creek, california","has kids, but does not want more",straight,likes dogs and likes cats,other and somewhat serious about it,f,libra,no,english,single,YES,157.48
60,43,curvy,mostly anything,socially,never,graduated from college/university,white,67,0,banking / financial / real estate,29JUN12:22:26:00,"berkeley, california","has a kid, and might want more",straight,has cats,buddhism but not too serious about it,f,cancer,no,english,single,YES,170.18
61,41,thin,mostly anything,socially,never,graduated from college/university,"native american, white",64,0,clerical / administrative,04APR12:15:13:00,"vallejo, california","has kids, but does not want more",straight,likes dogs and dislikes c,catholicism but not too serious about it,f,taurus,no,english (fluently),single,YES,162.56
62,49,curvy,mostly other,socially,never,graduated from masters program,white,68,0,other,28JUN12:14:39:00,"san rafael, california","has a kid, but does not want more",straight,likes dogs and has cats,other but not too serious about it,f,virgo,no,english,single,YES,172.72
63,59,average,anything,socially,never,graduated from college/university,other,71,0,science / tech / engineering,28JUN12:20:36:00,"hayward, california",does not have kids,straight,dislikes cats,christianity,m,capricorn,no,english,single,NO,180.34
64,33,full figured,mostly anything,often,never,graduated from college/university,white,73,0,other,28JUN12:06:26:00,"san francisco, california",does not want kids,straight,likes dogs and likes cats,agnosticism but not too serious about it,f,libra,no,"english (fluently), spanish (okay), italian (poorly)",single,NO,185.42
65,47,fit,anything,socially,never,high school,white,76,60000,construction / craftsmanship,20JUN12:10:14:00,"san mateo, california",has kids,straight,likes dogs and has cats,catholicism and laughing about it,m,virgo,no,english,single,YES,193.04
66,52,thin,strictly anything,often,never,graduated from masters program,white,65,0,education / academia,30JUN12:00:22:00,"san francisco, california",has kids,straight,likes dogs and has cats,agnosticism but not too serious about it,f,aquarius,no,english,single,YES,165.1
67,22,average,mostly anything,socially,never,working on college/university,"asian, pacific islander",64,0,sales / marketing / biz dev,29JUN12:17:41:00,"san francisco, california","does not have kids, but wants them",straight,likes dogs,catholicism and somewhat serious about it,f,pisces,no,"english (fluently), tagalog (fluently), spanish (okay)",single,NO,162.56
68,44,average,strictly anything,socially,never,graduated from college/university,white,72,100000,construction / craftsmanship,28JUN12:19:21:00,"san francisco, california",has kids,straight,likes dogs and likes cats,agnosticism but not too serious about it,m,capricorn,trying to quit,"english (fluently), german (okay)",single,YES,182.88
69,32,average,mostly anything,socially,never,graduated from college/university,white,64,0,entertainment / media,29JUN12:20:21:00,"san francisco, california",does not have kids,straight,likes dogs and likes cats,christianity but not too serious about it,f,taurus,no,english,single,NO,162.56
70,39,fit,strictly vegan,not at all,never,graduated from college/university,"white, other",63,0,other,24JUN12:18:31:00,"oakland, california","does not have kids, but might want them",straight,likes dogs,other and laughing about it,f,virgo,no,"english (fluently), japanese (poorly), other (poorly)",single,NO,160.02
71,47,fit,mostly vegetarian,socially,never,graduated from college/university,white,66,100000,artistic / musical / writer,29JUN12:10:12:00,"mill valley, california",has a kid,straight,likes dogs and likes cats,other and laughing about it,f,virgo,no,"english (fluently), french (fluently), japanese (poorly)",single,YES,167.64
72,23,overweight,strictly anything,very often,often,graduated from college/university,white,72,20000,student,24JUN12:23:08:00,"san francisco, california","has a kid, and wants more",straight,likes dogs and dislikes c,other and somewhat serious about it,m,leo,no,english,single,YES,182.88
73,48,fit,mostly anything,rarely,never,graduated from masters program,white,70,0,banking / financial / real estate,25JUN12:09:56:00,"san francisco, california",does not have kids,straight,likes dogs and likes cats,judaism but not too serious about it,m,scorpio,no,english,single,NO,177.8
74,59,fit,mostly anything,socially,never,graduated from college/university,asian,64,60000,education / academia,29JUN12:21:36:00,"san rafael, california","has a kid, and might want more",straight,dislikes dogs and dislike,other but not too serious about it,m,scorpio,no,"english, chinese, tagalog",single,YES,162.56
75,30,athletic,strictly anything,socially,never,working on masters program,white,75,100000,military,29JUN12:22:22:00,"san francisco, california","does not have kids, but wants them",straight,likes dogs and likes cats,agnosticism,m,leo,no,"english (fluently), portuguese (poorly)",available,NO,190.5
76,18,athletic,strictly anything,socially,never,working on college/university,white,73,20000,student,30JUN12:00:24:00,"sausalito, california","does not have kids, but might want them",straight,likes dogs and likes cats,other but not too serious about it,m,aries,no,english (fluently),single,NO,185.42
77,27,thin,mostly vegetarian,socially,never,graduated from college/university,white,64,0,entertainment / media,05FEB12:08:51:00,"palo alto, california",does not want kids,straight,likes dogs and likes cats,atheism but not too serious about it,f,capricorn,no,"english, german (fluently), spanish (poorly), french (poorly)",single,NO,162.56
78,43,average,mostly anything,often,often,working on space camp,white,69,0,computer / hardware / software,30JUN12:00:25:00,"san francisco, california",does not have kids,straight,likes dogs and has cats,atheism but not too serious about it,m,leo,when drinking,"english (poorly), english (okay), english (fluently), english, c++ (fl",single,NO,175.26
79,41,average,mostly anything,socially,never,graduated from law school,white,75,0,military,05MAR12:00:09:00,"san francisco, california",does not want kids,straight,likes dogs and likes cats,buddhism but not too serious about it,m,cancer,trying to quit,"english (fluently), chinese (poorly), tagalog (poorly)",single,NO,190.5
80,49,athletic,strictly anything,socially,sometimes,dropped out of space camp,"white, other",70,0,artistic / musical / writer,29JUN12:10:16:00,"san francisco, california","has kids, but does not want more",straight,likes dogs and likes cats,agnosticism and very serious about it,m,aquarius,no,"english, esperanto (poorly)",available,YES,177.8
81,44,athletic,mostly anything,socially,sometimes,working on college/university,"native american, white, o",76,0,other,29JUN12:09:25:00,"san leandro, california",has kids,bisexual,likes dogs and has cats,other and very serious about it,m,aquarius,no,english (fluently),available,YES,193.04
82,41,fit,strictly anything,often,never,graduated from two-year college,white,66,0,other,23JUN12:21:19:00,"san francisco, california",does not want kids,bisexual,likes dogs and likes cats,atheism and somewhat serious about it,f,cancer,no,"english (fluently), italian (poorly), french (poorly)",available,NO,167.64
83,23,fit,mostly anything,socially,never,graduated from college/university,white,67,30000,artistic / musical / writer,28JUN12:08:08:00,"san francisco, california","does not have kids, and does not want them",straight,likes dogs and likes cats,other,m,libra,no,"english (fluently), chinese (okay)",single,NO,170.18
84,29,average,anything,socially,never,graduated from law school,white,74,0,other,30JUN12:00:28:00,"san mateo, california",does not have kids,straight,has dogs,catholicism,m,libra,no,english,single,NO,187.96
85,33,thin,anything,not at all,never,graduated from college/university,white,60,0,hospitality / travel,26JUN12:09:06:00,"emeryville, california","does not have kids, but wants them",straight,likes dogs,christianity but not too serious about it,f,virgo,no,english (fluently),single,NO,152.4
86,25,athletic,mostly anything,socially,never,graduated from two-year college,hispanic / latin,63,30000,sales / marketing / biz dev,24APR12:23:08:00,"redwood city, california","does not have kids, but might want them",straight,likes dogs,catholicism but not too serious about it,m,pisces,trying to quit,english,single,NO,160.02
87,61,fit,mostly anything,socially,never,graduated from college/university,white,68,0,medicine / health,28JUN12:16:37:00,"moraga, california",has kids,straight,likes dogs and dislikes c,catholicism but not too serious about it,m,gemini,no,english (fluently),single,YES,172.72
88,44,thin,mostly vegetarian,socially,sometimes,graduated from college/university,white,63,0,artistic / musical / writer,25FEB12:12:06:00,"san francisco, california",has kids,straight,likes dogs and has cats,other and laughing about it,f,aries,when drinking,english (fluently),seeing someone,YES,160.02
89,30,fit,mostly anything,rarely,sometimes,college/university,white,66,40000,sales / marketing / biz dev,29JUN12:16:37:00,"san francisco, california","does not have kids, and does not want them",straight,likes dogs and likes cats,atheism,f,pisces,no,"english (fluently), spanish (poorly)",single,NO,167.64
90,58,curvy,anything,socially,never,graduated from masters program,white,64,0,executive / management,12MAR12:23:34:00,"albany, california",has a kid,straight,has cats,judaism and laughing about it,f,aquarius,no,"english, english (fluently), hebrew (poorly), spanish (poorly), french",single,YES,162.56
91,47,average,mostly anything,rarely,never,graduated from masters program,"hispanic / latin, white",63,0,executive / management,27JUN12:22:35:00,"martinez, california","does not have kids, but wants them",straight,likes dogs and likes cats,catholicism but not too serious about it,f,sagittarius,no,"english (fluently), spanish (fluently)",single,NO,160.02
92,45,curvy,mostly anything,socially,never,graduated from masters program,white,63,0,medicine / health,11OCT11:13:56:00,"san francisco, california",has kids,straight,has dogs and likes cats,christianity and somewhat serious about i,f,aquarius,no,"english (fluently), spanish (poorly)",single,YES,160.02
93,24,average,strictly anything,not at all,never,graduated from college/university,white,68,0,executive / management,30JUN12:00:31:00,"san francisco, california","does not have kids, and does not want them",straight,dislikes dogs and dislike,agnosticism and very serious about it,f,capricorn,yes,english,single,NO,172.72
94,31,thin,anything,socially,never,graduated from college/university,"hispanic / latin, white",74,20000,construction / craftsmanship,18JAN12:12:26:00,"berkeley, california","does not have kids, but might want them",straight,likes dogs and has cats,agnosticism and somewhat serious about it,m,aries,when drinking,"english (fluently), spanish (okay)",available,NO,187.96
95,37,athletic,mostly other,socially,never,graduated from two-year college,white,65,0,other,29JUN12:18:49:00,"oakland, california","does not have kids, but wants them",straight,has dogs,judaism but not too serious about it,f,virgo,no,english (fluently),single,NO,165.1
96,32,average,mostly anything,socially,never,graduated from law school,white,64,0,law / legal services,28JUN12:20:48:00,"alameda, california","does not have kids, but wants them",straight,likes cats,catholicism but not too serious about it,f,virgo,no,english,single,NO,162.56
97,18,average,mostly anything,not at all,never,graduated from high school,pacific islander,70,0,military,29JUN12:12:20:00,"berkeley, california","does not have kids, but wants them",straight,likes dogs and likes cats,catholicism and laughing about it,m,capricorn,no,english,single,NO,177.8
98,27,skinny,vegetarian,often,never,graduated from college/university,white,69,0,education / academia,29JUN12:19:13:00,"san francisco, california","does not have kids, and does not want them",gay,likes dogs and has cats,atheism and laughing about it,f,cancer,no,"english (fluently), french (okay), spanish (poorly)",single,NO,175.26
99,33,athletic,strictly anything,socially,never,graduated from college/university,white,67,0,executive / management,14APR12:17:56:00,"san mateo, california","does not have kids, but might want them",straight,has dogs and likes cats,agnosticism but not too serious about it,m,capricorn,no,"english (fluently), spanish (okay)",single,NO,170.18
100,43,full figured,strictly anything,socially,sometimes,graduated from college/university,white,64,0,artistic / musical / writer,29JUN12:19:44:00,"hayward, california","has kids, but does not want more",straight,has dogs and likes cats,other but not too serious about it,f,scorpio,no,english (fluently),married,YES,162.56
101,36,a little extra,mostly anything,not at all,never,graduated from two-year college,"asian, pacific islander",67,20000,other,29JUN12:10:02:00,"vallejo, california","does not have kids, but wants them",straight,has dogs and has cats,catholicism and somewhat serious about it,m,sagittarius,trying to quit,"english (fluently), tagalog (okay)",single,NO,170.18
102,26,average,mostly vegetarian,very often,sometimes,dropped out of college/university,white,74,0,sales / marketing / biz dev,28JUN12:20:45:00,"oakland, california",does not have kids,straight,likes cats,agnosticism,m,scorpio,sometimes,"english (fluently), spanish (poorly), sign language (poorly)",single,NO,187.96
103,31,average,mostly anything,socially,never,graduated from two-year college,black,69,40000,transportation,07APR12:12:29:00,"oakland, california","has kids, and might want more",straight,likes dogs and likes cats,other and laughing about it,m,libra,trying to quit,english (fluently),single,YES,175.26
104,22,athletic,mostly vegetarian,socially,often,graduated from college/university,white,68,60000,entertainment / media,26JUN12:09:44:00,"san francisco, california",does not want kids,straight,likes dogs and has cats,other,m,scorpio,trying to quit,"english, japanese",single,NO,172.72
105,47,fit,mostly anything,often,never,graduated from college/university,white,73,0,banking / financial / real estate,29JUN12:19:01:00,"san francisco, california","has kids, but does not want more",straight,likes dogs and dislikes c,atheism and laughing about it,m,libra,no,"english (fluently), french (fluently)",single,YES,185.42
106,39,average,anything,socially,never,graduated from high school,hispanic / latin,60,0,other,28JUN12:13:21:00,"san pablo, california","does not have kids, but wants them",straight,likes dogs,catholicism and very serious about it,f,gemini,no,english (fluently),single,NO,152.4
107,30,fit,strictly anything,socially,never,graduated from masters program,"hispanic / latin, white",70,0,other,28JUN12:17:27:00,"san francisco, california","does not have kids, but might want them",straight,likes dogs and likes cats,other and somewhat serious about it,m,capricorn,no,"english (fluently), spanish (fluently)",single,NO,177.8
108,38,curvy,mostly anything,rarely,never,graduated from college/university,pacific islander,68,50000,banking / financial / real estate,08JUN12:01:21:00,"san leandro, california",has kids,straight,likes dogs and likes cats,christianity and somewhat serious about i,f,gemini,no,"english (fluently), spanish (fluently), hawaiian (fluently)",single,YES,172.72
109,24,athletic,strictly anything,socially,never,graduated from masters program,white,72,0,computer / hardware / software,29JUN12:22:33:00,"san francisco, california",does not have kids,straight,likes dogs and likes cats,other and very serious about it,m,gemini,sometimes,english,single,NO,182.88
110,23,average,strictly anything,often,sometimes,graduated from college/university,white,68,0,science / tech / engineering,28JUN12:08:11:00,"san francisco, california",does not want kids,straight,likes dogs and likes cats,atheism,m,taurus,no,"english (fluently), spanish (poorly)",single,NO,172.72
111,26,a little extra,mostly anything,socially,never,graduated from high school,black,74,0,transportation,01MAR12:12:08:00,"oakland, california","does not have kids, but might want them",straight,likes dogs and dislikes c,other and laughing about it,m,pisces,no,english (fluently),single,NO,187.96
112,25,fit,mostly vegetarian,socially,never,graduated from two-year college,"pacific islander, hispani",68,50000,medicine / health,29JUN12:23:17:00,"oakland, california","does not have kids, but might want them",straight,has dogs and likes cats,catholicism but not too serious about it,m,capricorn,sometimes,"english (fluently), spanish (okay), tagalog (poorly)",single,NO,172.72
113,24,athletic,mostly anything,socially,never,working on college/university,white,74,40000,medicine / health,25JUN12:11:33:00,"richmond, california",does not have kids,straight,likes dogs,catholicism,m,cancer,no,"english (fluently), croatian (okay)",single,NO,187.96
114,21,athletic,mostly kosher,rarely,never,working on college/university,black,66,40000,artistic / musical / writer,29JUN12:20:16:00,"san francisco, california","does not have kids, but might want them",straight,likes dogs and likes cats,christianity and very serious about it,m,aries,sometimes,"english (fluently), spanish (poorly), portuguese (poorly)",single,NO,167.64
